name,items_needed,street_address,city,state,zip_code
San Francisco-Marin Food Bank,Corn. Bread. Watter Bottles. Tomato Sauce. Cookies,900 Pennsylvania Ave,San Francisco,California,94107
Greater Chicago Food Depository,Corn. Bread. Watter Bottles. Tomato Sauce. Cookies,4100 W. Ann Lurie Place,Chicago,Illinois,60632
Grand Central Neighborhood Social Services Corporation,"Corn. Bread, Watter Bottles. Tomato Sauce. Cookies",120 East 32nd,New York City,New York,10016
Los Angles Regional Food Bank,"Water. Canned Tuna/Chicken. Peanut Butter. Jelly, Soup. Stew. Canned Fruit",1734 E 41st St,Los Angeles,California,90058
Houston Food Bank,Canned Meat. Canned Pasta. Canned Fruit. Canned Vegetables. Canned Applesauce,535 Portwall St,Houston,Texas,77029
Pine Street Inn,"Corn. Bread, Watter Bottles. Tomato Sauce. Cookies",100 Paul Sullivan Way,Boston,Massachusetts,"21,345"
Capital Area Food Bank,Grains. Spices. Cereal. Peanut Butter. Canned Meat. Canned Vegetables. Canned Fruit,4900 Puerto Rico Ave NE,Washington DC,N/A,20017
Harvesters - The Community Food Network,"Corn. Bread, Watter Bottles. Tomato Sauce. Cookies",3801 Topping Ave,Kansas City,Missouri,64129
